point_short_code,point_long_code,address_full,geometry
032,25032,5450 Lawrence Ave E,"{'type': 'MultiPoint', 'coordinates': [[-79.1402912428098, 43.779664590375]]}"
022,01022,10 Pittsboro Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.5900470677447, 43.7365019019057]]}"
023,01023,155 John Garland Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.5917397330749, 43.7314927043501]]}"
035,01035,75 Pergola Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.5870531791143, 43.7256994109862]]}"
041,15041,10 William Morgan Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.3417658388151, 43.7093700120647]]}"
033,01033,710 Humberwood Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.6167092996508, 43.7247902888156]]}"
025,07025,1440 Finch Ave W,"{'type': 'MultiPoint', 'coordinates': [[-79.4937985997307, 43.7632895737898]]}"
030,01030,20 Humberline Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.6140624108707, 43.7317277210812]]}"
037,01037,2170 Kipling Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.5720168856081, 43.7206946675157]]}"
034,01034,920 Queen's Plate Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.6040487907592, 43.7200047871942]]}"
036,01036,15 Delsing Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.5807026757453, 43.7237549779012]]}"
042,01042,15 Tandridge Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.5488638133372, 43.7280298273892]]}"
031,01031,70 Humberline Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.6173819239608, 43.7319280221797]]}"
040,01040,30 Harefield Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.5695177435715, 43.729716180075]]}"
041,01041,20 Fordwich Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.5624526489507, 43.7277265566382]]}"
051,01051,50 Hadrian Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.5498701970545, 43.7159386194401]]}"
060,01060,22 Willowridge Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.5693880232354, 43.6749546925923]]}"
052,01052,40 McArthur St,"{'type': 'MultiPoint', 'coordinates': [[-79.5463909750587, 43.7016350249789]]}"
028,25028,401 Friendship Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.1337159199136, 43.7956184194221]]}"
048,01048,30 Barrhead Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.5665521913805, 43.7193132274678]]}"
053,01053,2 St Andrews Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.5500561590985, 43.7016660003405]]}"
054,01054,45 Kingsview Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.5539328680624, 43.6978127589357]]}"
003,16003,200 Graydon Hall Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.3399200284936, 43.7643599636777]]}"
013,15013,120 Banbury Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.3695375368023, 43.7428273371368]]}"
055,01055,1 York Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.5507891278971, 43.6978666584909]]}"
056,01056,2000 Islington Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.5485062993938, 43.6973255115185]]}"
027,25027,92 Island Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.1400297279744, 43.7988512141561]]}"
008,01008,1 Rowntree Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.5828573684119, 43.7511978597463]]}"
009,01009,3 Rowntree Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.5817342147669, 43.7504092449963]]}"
011,01011,2533 Kipling Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.5823817817994, 43.7449311405296]]}"
006,25006,1319 Neilson Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2179834082513, 43.8084161009352]]}"
020,25020,101 Dean Park Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.1740585576179, 43.8022683840224]]}"
008,25008,75 Hupfield Trl,"{'type': 'MultiPoint', 'coordinates': [[-79.2201440043568, 43.8121839993684]]}"
010,01010,5 Rowntree Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.5807789461201, 43.7495207852325]]}"
005,25005,1315 Neilson Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.2188089881998, 43.8077783364354]]}"
034,25034,85 Charlottetown Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.1422089559982, 43.7820702346732]]}"
013,16013,60 Ranchdale Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.3232914375889, 43.7524580000985]]}"
002,16002,2020 Don Mills Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.3478339987265, 43.7627841446126]]}"
031,25031,20 Winter Gardens Trl,"{'type': 'MultiPoint', 'coordinates': [[-79.13729821037, 43.785807845353]]}"
012,16012,210 Brookbanks Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.3259011483749, 43.7595413168495]]}"
002,17002,105 Bestview Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.3856328580992, 43.8026660882921]]}"
042,12042,230 St Clair Ave W,"{'type': 'MultiPoint', 'coordinates': [[-79.4057175801005, 43.6863163755156]]}"
043,12043,300 Lonsdale Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4097290818869, 43.6895069476587]]}"
001,20001,25 Rosalind Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.2962358879462, 43.7164767633036]]}"
005,12005,20 Bansley Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4429115844532, 43.6922556300161]]}"
003,12003,636 Glenholme Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.4457437831478, 43.6958897058391]]}"
017,12017,89 Dunfield Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.3950127978826, 43.7069457639863]]}"
008,12008,145 Ava Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.4302837269918, 43.696025486871]]}"
009,12009,989 Eglinton Ave W,"{'type': 'MultiPoint', 'coordinates': [[-79.4303111505153, 43.6997156707696]]}"
010,12010,1700 Bathurst St,"{'type': 'MultiPoint', 'coordinates': [[-79.4244002758798, 43.6954265728918]]}"
012,18012,1059 Lillian St,"{'type': 'MultiPoint', 'coordinates': [[-79.4103985022169, 43.7978213696628]]}"
014,12014,2181 Yonge St,"{'type': 'MultiPoint', 'coordinates': [[-79.3973966781869, 43.7052990755699]]}"
