point_short_code,point_long_code,geometry
032,25032,"{'type': 'MultiPoint', 'coordinates': [[-79.1402912428098, 43.779664590375]]}"
022,01022,"{'type': 'MultiPoint', 'coordinates': [[-79.5900470677447, 43.7365019019057]]}"
023,01023,"{'type': 'MultiPoint', 'coordinates': [[-79.5917397330749, 43.7314927043501]]}"
035,01035,"{'type': 'MultiPoint', 'coordinates': [[-79.5870531791143, 43.7256994109862]]}"
041,15041,"{'type': 'MultiPoint', 'coordinates': [[-79.3417658388151, 43.7093700120647]]}"
033,01033,"{'type': 'MultiPoint', 'coordinates': [[-79.6167092996508, 43.7247902888156]]}"
025,07025,"{'type': 'MultiPoint', 'coordinates': [[-79.4937985997307, 43.7632895737898]]}"
030,01030,"{'type': 'MultiPoint', 'coordinates': [[-79.6140624108707, 43.7317277210812]]}"
037,01037,"{'type': 'MultiPoint', 'coordinates': [[-79.5720168856081, 43.7206946675157]]}"
034,01034,"{'type': 'MultiPoint', 'coordinates': [[-79.6040487907592, 43.7200047871942]]}"
036,01036,"{'type': 'MultiPoint', 'coordinates': [[-79.5807026757453, 43.7237549779012]]}"
042,01042,"{'type': 'MultiPoint', 'coordinates': [[-79.5488638133372, 43.7280298273892]]}"
031,01031,"{'type': 'MultiPoint', 'coordinates': [[-79.6173819239608, 43.7319280221797]]}"
040,01040,"{'type': 'MultiPoint', 'coordinates': [[-79.5695177435715, 43.729716180075]]}"
041,01041,"{'type': 'MultiPoint', 'coordinates': [[-79.5624526489507, 43.7277265566382]]}"
051,01051,"{'type': 'MultiPoint', 'coordinates': [[-79.5498701970545, 43.7159386194401]]}"
060,01060,"{'type': 'MultiPoint', 'coordinates': [[-79.5693880232354, 43.6749546925923]]}"
052,01052,"{'type': 'MultiPoint', 'coordinates': [[-79.5463909750587, 43.7016350249789]]}"
028,25028,"{'type': 'MultiPoint', 'coordinates': [[-79.1337159199136, 43.7956184194221]]}"
048,01048,"{'type': 'MultiPoint', 'coordinates': [[-79.5665521913805, 43.7193132274678]]}"
053,01053,"{'type': 'MultiPoint', 'coordinates': [[-79.5500561590985, 43.7016660003405]]}"
054,01054,"{'type': 'MultiPoint', 'coordinates': [[-79.5539328680624, 43.6978127589357]]}"
003,16003,"{'type': 'MultiPoint', 'coordinates': [[-79.3399200284936, 43.7643599636777]]}"
013,15013,"{'type': 'MultiPoint', 'coordinates': [[-79.3695375368023, 43.7428273371368]]}"
055,01055,"{'type': 'MultiPoint', 'coordinates': [[-79.5507891278971, 43.6978666584909]]}"
056,01056,"{'type': 'MultiPoint', 'coordinates': [[-79.5485062993938, 43.6973255115185]]}"
027,25027,"{'type': 'MultiPoint', 'coordinates': [[-79.1400297279744, 43.7988512141561]]}"
008,01008,"{'type': 'MultiPoint', 'coordinates': [[-79.5828573684119, 43.7511978597463]]}"
009,01009,"{'type': 'MultiPoint', 'coordinates': [[-79.5817342147669, 43.7504092449963]]}"
011,01011,"{'type': 'MultiPoint', 'coordinates': [[-79.5823817817994, 43.7449311405296]]}"
006,25006,"{'type': 'MultiPoint', 'coordinates': [[-79.2179834082513, 43.8084161009352]]}"
020,25020,"{'type': 'MultiPoint', 'coordinates': [[-79.1740585576179, 43.8022683840224]]}"
008,25008,"{'type': 'MultiPoint', 'coordinates': [[-79.2201440043568, 43.8121839993684]]}"
010,01010,"{'type': 'MultiPoint', 'coordinates': [[-79.5807789461201, 43.7495207852325]]}"
005,25005,"{'type': 'MultiPoint', 'coordinates': [[-79.2188089881998, 43.8077783364354]]}"
034,25034,"{'type': 'MultiPoint', 'coordinates': [[-79.1422089559982, 43.7820702346732]]}"
013,16013,"{'type': 'MultiPoint', 'coordinates': [[-79.3232914375889, 43.7524580000985]]}"
002,16002,"{'type': 'MultiPoint', 'coordinates': [[-79.3478339987265, 43.7627841446126]]}"
031,25031,"{'type': 'MultiPoint', 'coordinates': [[-79.13729821037, 43.785807845353]]}"
012,16012,"{'type': 'MultiPoint', 'coordinates': [[-79.3259011483749, 43.7595413168495]]}"
002,17002,"{'type': 'MultiPoint', 'coordinates': [[-79.3856328580992, 43.8026660882921]]}"
042,12042,"{'type': 'MultiPoint', 'coordinates': [[-79.4057175801005, 43.6863163755156]]}"
043,12043,"{'type': 'MultiPoint', 'coordinates': [[-79.4097290818869, 43.6895069476587]]}"
001,20001,"{'type': 'MultiPoint', 'coordinates': [[-79.2962358879462, 43.7164767633036]]}"
005,12005,"{'type': 'MultiPoint', 'coordinates': [[-79.4429115844532, 43.6922556300161]]}"
003,12003,"{'type': 'MultiPoint', 'coordinates': [[-79.4457437831478, 43.6958897058391]]}"
017,12017,"{'type': 'MultiPoint', 'coordinates': [[-79.3950127978826, 43.7069457639863]]}"
008,12008,"{'type': 'MultiPoint', 'coordinates': [[-79.4302837269918, 43.696025486871]]}"
009,12009,"{'type': 'MultiPoint', 'coordinates': [[-79.4303111505153, 43.6997156707696]]}"
010,12010,"{'type': 'MultiPoint', 'coordinates': [[-79.4244002758798, 43.6954265728918]]}"
012,18012,"{'type': 'MultiPoint', 'coordinates': [[-79.4103985022169, 43.7978213696628]]}"
014,12014,"{'type': 'MultiPoint', 'coordinates': [[-79.3973966781869, 43.7052990755699]]}"
044,20044,"{'type': 'MultiPoint', 'coordinates': [[-79.270927399778, 43.7087670630065]]}"
005,20005,"{'type': 'MultiPoint', 'coordinates': [[-79.2804886799693, 43.7149029373781]]}"
016,12016,"{'type': 'MultiPoint', 'coordinates': [[-79.3949415929514, 43.7067719740276]]}"
013,18013,"{'type': 'MultiPoint', 'coordinates': [[-79.4026251522927, 43.8002282400109]]}"
015,12015,"{'type': 'MultiPoint', 'coordinates': [[-79.3973901588329, 43.7056658536113]]}"
006,20006,"{'type': 'MultiPoint', 'coordinates': [[-79.2754113465998, 43.7130080216446]]}"
010,20010,"{'type': 'MultiPoint', 'coordinates': [[-79.2621597253873, 43.726485113649]]}"
022,12022,"{'type': 'MultiPoint', 'coordinates': [[-79.3908468303168, 43.7079037464755]]}"
023,12023,"{'type': 'MultiPoint', 'coordinates': [[-79.3898120697675, 43.7065283676559]]}"
001,01001,"{'type': 'MultiPoint', 'coordinates': [[-79.6050136936641, 43.7515700507883]]}"
014,15014,"{'type': 'MultiPoint', 'coordinates': [[-79.3642277250946, 43.7458394934387]]}"
007,15007,"{'type': 'MultiPoint', 'coordinates': [[-79.3925162004247, 43.7490561850855]]}"
001,17001,"{'type': 'MultiPoint', 'coordinates': [[-79.3928529592359, 43.8022163953495]]}"
018,15018,"{'type': 'MultiPoint', 'coordinates': [[-79.4020544119075, 43.7273281829608]]}"
018,25018,"{'type': 'MultiPoint', 'coordinates': [[-79.1902392505261, 43.8084816562815]]}"
005,09005,"{'type': 'MultiPoint', 'coordinates': [[-79.4679721851425, 43.6805852613849]]}"
008,09008,"{'type': 'MultiPoint', 'coordinates': [[-79.441551585718, 43.6794114666125]]}"
002,09002,"{'type': 'MultiPoint', 'coordinates': [[-79.4505577405563, 43.688715787105]]}"
003,09003,"{'type': 'MultiPoint', 'coordinates': [[-79.458898094007, 43.6840057733305]]}"
009,09009,"{'type': 'MultiPoint', 'coordinates': [[-79.4448952342307, 43.6796259814587]]}"
007,09007,"{'type': 'MultiPoint', 'coordinates': [[-79.4363790055539, 43.6786558887327]]}"
011,09011,"{'type': 'MultiPoint', 'coordinates': [[-79.4432469521811, 43.6757367136645]]}"
012,09012,"{'type': 'MultiPoint', 'coordinates': [[-79.4513966058579, 43.675330792147]]}"
013,09013,"{'type': 'MultiPoint', 'coordinates': [[-79.4585202970583, 43.6750755761718]]}"
009,15009,"{'type': 'MultiPoint', 'coordinates': [[-79.405236593253, 43.7469765759739]]}"
015,15015,"{'type': 'MultiPoint', 'coordinates': [[-79.3586637804487, 43.7343375450097]]}"
019,09019,"{'type': 'MultiPoint', 'coordinates': [[-79.4564483357855, 43.6661347663831]]}"
015,09015,"{'type': 'MultiPoint', 'coordinates': [[-79.4600288033669, 43.6723528079383]]}"
017,09017,"{'type': 'MultiPoint', 'coordinates': [[-79.457795665253, 43.6692597247403]]}"
029,13029,"{'type': 'MultiPoint', 'coordinates': [[-79.3638299150084, 43.6644860052749]]}"
020,09020,"{'type': 'MultiPoint', 'coordinates': [[-79.4514701139127, 43.6628755818843]]}"
021,09021,"{'type': 'MultiPoint', 'coordinates': [[-79.4474258737937, 43.6669749651066]]}"
