_id,POINT_ID,POINT_TYPE_ID,POINT_TYPE,FEATURE_CODE,FEATURE_CODE_DESC,POINT_SHORT_CODE,POINT_LONG_CODE,POINT_NAME,POINT_DESC,REF_FEATURE_TYPE,REF_FEATURE_ID_SPAT,REF_FEATURE_ID_TAB,SOURCE_FEATURE_TYPE,SOURCE_FEATURE_ID,VOTER_COUNT,OBJECTID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,geometry
1,10361,,VOTING_LOCATION,P,Primary,032,25032,Port Union Community Recreation Centre - Building Grounds,None,None,,,ADDRESS_POINT,9313149,2043,1279,5450,Lawrence Ave E,5450 Lawrence Ave E,"{'type': 'MultiPoint', 'coordinates': [[-79.1402912428098, 43.779664590375]]}"
2,11539,,VOTING_LOCATION,P,Primary,022,01022,Elmbank Middle School - Building Grounds,None,None,,,ADDRESS_POINT,8128665,2193,1280,10,Pittsboro Dr,10 Pittsboro Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.5900470677447, 43.7365019019057]]}"
3,11526,,VOTING_LOCATION,P,Primary,023,01023,St. Dorothy Catholic School,None,None,,,ADDRESS_POINT,1009961,1063,1281,155,John Garland Blvd,155 John Garland Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.5917397330749, 43.7314927043501]]}"
4,10591,,VOTING_LOCATION,P,Primary,035,01035,Martin Grove United Church,None,None,,,ADDRESS_POINT,10154676,1825,1282,75,Pergola Rd,75 Pergola Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.5870531791143, 43.7256994109862]]}"
5,10561,,VOTING_LOCATION,P,Primary,041,15041,Central Park Lodge,None,None,,,ADDRESS_POINT,14120993,326,1283,10,William Morgan Dr,10 William Morgan Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.3417658388151, 43.7093700120647]]}"
6,10474,,VOTING_LOCATION,P,Primary,033,01033,Mansions of Humberwood,None,None,,,ADDRESS_POINT,20077885,1555,1284,710,Humberwood Blvd,710 Humberwood Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.6167092996508, 43.7247902888156]]}"
7,10120,,VOTING_LOCATION,P,Primary,025,07025,James Cardinal McGuigan School,None,None,,,ADDRESS_POINT,515997,3391,1286,1440,Finch Ave W,1440 Finch Ave W,"{'type': 'MultiPoint', 'coordinates': [[-79.4937985997307, 43.7632895737898]]}"
8,11613,,VOTING_LOCATION,P,Primary,030,01030,None,None,None,,,ADDRESS_POINT,1008150,466,1287,20,Humberline Dr,20 Humberline Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.6140624108707, 43.7317277210812]]}"
9,10159,,VOTING_LOCATION,P,Primary,037,01037,Msgr. Percy Johnson Catholic High School,None,None,,,ADDRESS_POINT,9667012,2014,1288,2170,Kipling Ave,2170 Kipling Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.5720168856081, 43.7206946675157]]}"
10,10265,,VOTING_LOCATION,P,Primary,034,01034,Ascot Co-op,None,None,,,ADDRESS_POINT,10133196,1980,1289,920,Queen's Plate Dr,920 Queen's Plate Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.6040487907592, 43.7200047871942]]}"
11,10579,,VOTING_LOCATION,P,Primary,036,01036,West Humber Junior Public School,None,None,,,ADDRESS_POINT,10155258,1735,1290,15,Delsing Dr,15 Delsing Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.5807026757453, 43.7237549779012]]}"
12,10387,,VOTING_LOCATION,P,Primary,042,01042,Braeburn Public School,None,None,,,ADDRESS_POINT,1035925,1597,1291,15,Tandridge Cres,15 Tandridge Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.5488638133372, 43.7280298273892]]}"
13,12249,,VOTING_LOCATION,P,Primary,031,01031,Leisureworld,None,None,,,ADDRESS_POINT,14225874,114,1293,70,Humberline Dr,70 Humberline Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.6173819239608, 43.7319280221797]]}"
14,10534,,VOTING_LOCATION,P,Primary,040,01040,Rivercrest Public School - Building Grounds,None,None,,,ADDRESS_POINT,1005812,2062,1294,30,Harefield Dr,30 Harefield Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.5695177435715, 43.729716180075]]}"
15,10526,,VOTING_LOCATION,P,Primary,041,01041,Thistletown Collegiate Institute,None,None,,,ADDRESS_POINT,1001687,1142,1295,20,Fordwich Cres,20 Fordwich Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.5624526489507, 43.7277265566382]]}"
16,10959,,VOTING_LOCATION,P,Primary,051,01051,Elmlea Public School,None,None,,,ADDRESS_POINT,10010732,2341,1296,50,Hadrian Dr,50 Hadrian Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.5498701970545, 43.7159386194401]]}"
17,10533,,VOTING_LOCATION,P,Primary,060,01060,None,None,None,,,ADDRESS_POINT,14190517,1108,1297,22,Willowridge Rd,22 Willowridge Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.5693880232354, 43.6749546925923]]}"
18,10784,,VOTING_LOCATION,P,Primary,052,01052,School Of Experiential Education,None,None,,,ADDRESS_POINT,9980628,3297,1298,40,McArthur St,40 McArthur St,"{'type': 'MultiPoint', 'coordinates': [[-79.5463909750587, 43.7016350249789]]}"
19,11003,,VOTING_LOCATION,P,Primary,028,25028,West Rouge Elementary School - Building Grounds,None,None,,,ADDRESS_POINT,336198,2283,1300,401,Friendship Ave,401 Friendship Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.1337159199136, 43.7956184194221]]}"
20,11083,,VOTING_LOCATION,P,Primary,048,01048,Mississauga Private School,None,None,,,ADDRESS_POINT,986007,2275,1301,30,Barrhead Cres,30 Barrhead Cres,"{'type': 'MultiPoint', 'coordinates': [[-79.5665521913805, 43.7193132274678]]}"
21,10321,,VOTING_LOCATION,P,Primary,053,01053,Dante Alighieri Academy,None,None,,,ADDRESS_POINT,9963097,1265,1302,2,St Andrews Blvd,2 St Andrews Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.5500561590985, 43.7016660003405]]}"
22,10323,,VOTING_LOCATION,P,Primary,054,01054,St. Maurice Catholic School,None,None,,,ADDRESS_POINT,1011124,2810,1303,45,Kingsview Blvd,45 Kingsview Blvd,"{'type': 'MultiPoint', 'coordinates': [[-79.5539328680624, 43.6978127589357]]}"
23,10354,,VOTING_LOCATION,P,Primary,003,16003,George S. Henry Academy - Building Grounds,None,None,,,ADDRESS_POINT,8824026,2711,1304,200,Graydon Hall Dr,200 Graydon Hall Dr,"{'type': 'MultiPoint', 'coordinates': [[-79.3399200284936, 43.7643599636777]]}"
24,10359,,VOTING_LOCATION,P,Primary,013,15013,Banbury Park,None,None,,,ADDRESS_POINT,485984,2184,1305,120,Banbury Rd,120 Banbury Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.3695375368023, 43.7428273371368]]}"
25,10322,,VOTING_LOCATION,P,Primary,055,01055,Kingsview Village Public School,None,None,,,ADDRESS_POINT,1045581,2493,1306,1,York Rd,1 York Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.5507891278971, 43.6978666584909]]}"
26,10320,,VOTING_LOCATION,P,Primary,056,01056,None,None,None,,,ADDRESS_POINT,1009108,497,1307,2000,Islington Ave,2000 Islington Ave,"{'type': 'MultiPoint', 'coordinates': [[-79.5485062993938, 43.6973255115185]]}"
27,12252,,VOTING_LOCATION,P,Primary,027,25027,Altamont Nursing Home,None,None,,,ADDRESS_POINT,3872909,112,1309,92,Island Rd,92 Island Rd,"{'type': 'MultiPoint', 'coordinates': [[-79.1400297279744, 43.7988512141561]]}"
