ward,total,n
10,99,94
13,99,90
3,99,86
11,99,77
2,99,72
4,99,70
5,99,65
8,99,64
12,99,64
16,99,62
20,99,61
17,99,61
18,99,59
19,99,57
15,99,55
1,99,55
9,99,54
6,99,53
14,99,52
24,99,51
22,99,50
21,99,50
25,99,48
7,99,47
23,99,38
Grand Total,99,1
9 Total,99,1
8 Total,99,1
7 Total,99,1
6 Total,99,1
5 Total,99,1
4 Total,99,1
3 Total,99,1
25 Total,99,1
24 Total,99,1
23 Total,99,1
22 Total,99,1
21 Total,99,1
20 Total,99,1
2 Total,99,1
19 Total,99,1
18 Total,99,1
17 Total,99,1
16 Total,99,1
15 Total,99,1
14 Total,99,1
13 Total,99,1
12 Total,99,1
11 Total,99,1
10 Total,99,1
1 Total,99,1
